Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Order Quantity,On time shipment rate
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,8,0.625
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,3,0.6666666666666667
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,3,1.0
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,1,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,2,1.0
Under Armour Women's Ignite Slide,201712,2,1.00809,1,1.0
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,1,1.0
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,1,1.0
Sports Books,201712,2,0.99933,3,0.6666666666666667
DVDs,201712,64,2.03553,32,0.8125
Fighting video games,201712,4,1.87778,32,0.84375
Summer dresses,201712,13,1.3625,44,0.75
Lawn mower,201712,4,1.34376,15,0.8666666666666667
Adult dog supplies,201712,2,2.07928,51,0.7647058823529411
Rock music,201712,16,2.26272,9,0.8888888888888888
Toys,201712,133,0.19512,73,0.4246575342465754
First aid kit,201712,18,0.18893,18,0.8888888888888888
Smart watch,201712,42,1.58784,22,0.8636363636363636
Men's gala suit,201712,3,1.57465,4,0.75
Perfect Fitness Perfect Rip Deck,201711,7,2.30448,9,0.33333333333333337
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628,8,0.5
Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632,6,0.6666666666666667
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294,3,0.6666666666666667
Glove It Imperial Golf Towel,201711,2,1.86995,1,0.0
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382,1,0.0
Children's heaters,201711,1,0.78152,3,0.6666666666666667
Web Camera,201711,5,1.5434,27,1.0
Porcelain crafts,201711,36,0.54235,25,0.64
Sports Books,201711,26,1.46957,15,0.8
DVDs,201711,33,0.79126,55,0.6909090909090909
Industrial consumer electronics,201711,0,1.80573,26,0.6923076923076923
Fighting video games,201711,18,0.156,19,0.631578947368421
Summer dresses,201711,25,0.2102,21,0.5238095238095238
Lawn mower,201711,8,0.27954,45,0.7111111111111111
Adult dog supplies,201711,19,2.29154,20,0.44999999999999996
Rock music,201711,2,0.73288,3,0.33333333333333337
First aid kit,201711,0,2.29855,10,0.6
CDs of rock,201711,3,0.85409,16,0.9375
Smart watch,201711,30,1.08703,16,0.6875
Baby sweater,201711,10,0.30632,10,1.0
Men's gala suit,201711,5,1.20661,4,0.25
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059,1,1.0
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909,2,1.0
Polar Loop Activity Tracker,201711,1,1.0942,2,0.5
Perfect Fitness Perfect Rip Deck,201710,2,2.28291,12,0.6666666666666667
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996,16,0.6875
O'Brien Men's Neoprene Life Vest,201710,8,2.0023,5,0.5
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385,5,0.5
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668,7,0.4285714285714286
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156,1,0.0
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754,1,0.0
Under Armour Women's Ignite Slide,201710,0,1.56443,3,0.0
Top Flite Women's 2017 XL Hybrid,201710,2,2.03709,1,1.0
adidas Men's Germany Black Crest Away Tee,201710,0,1.03461,1,1.0
Bag Boy Beverage Holder,201710,0,0.14176,1,1.0
Children's heaters,201710,3,2.28254,5,0.6
Web Camera,201710,234,0.88759,129,0.5581395348837209
Porcelain crafts,201710,39,1.99338,43,0.6976744186046512
Sports Books,201710,58,2.03661,32,0.59375
DVDs,201710,41,0.17026,22,0.6818181818181819
Industrial consumer electronics,201710,5,0.67386,18,0.6666666666666667
CDs of rock,201710,34,2.22295,36,0.5
Baby sweater,201710,27,1.52727,22,0.5909090909090908
MDGolf Pittsburgh Penguins Putter,201710,1,0.74719,1,1.0
Garmin Approach S3 Golf GPS Watch,201710,4,1.83329,2,0.5
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587,1,0.0
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591,1,0.0
adidas Brazuca 2017 Official Match Ball,201710,2,0.85572,1,1.0
Garmin Forerunner 910XT GPS Watch,201710,2,0.53606,1,0.0
GoPro HERO3+ Black Edition Camera,201710,1,1.37089,1,1.0
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012,2,0.0
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528,1,1.0
Perfect Fitness Perfect Rip Deck,201709,536,1.65666,391,0.6212121212121212
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767,348,0.5929203539823009
O'Brien Men's Neoprene Life Vest,201709,150,0.91578,254,0.6555555555555556
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137,243,0.7160493827160495
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805,163,0.6346153846153846
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406,127,0.6535433070866141
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661,94,0.6170212765957447
